url,label
http://google.com,legitimate
http://paypal.com,legitimate
http://amazon.com,legitimate
http://facebook.com,legitimate
http://microsoft.com,legitimate
http://apple.com,legitimate
http://twitter.com,legitimate
http://linkedin.com,legitimate
http://github.com,legitimate
http://stackoverflow.com,legitimate
http://secure-paypal-login.phishing-site.com/account,phishing
http://amazon-security-alert.tk/verify,phishing
http://login-facebook-verify.ru/confirm,phishing
http://apple-id-locked.ml/unlock,phishing
http://microsoft-update-required.ga/login,phishing
http://paypal-account-suspended.cf/restore,phishing
http://bankofamerica-secure.phish.com/verify,phishing
http://accounts-google-sign-in.xyz/login,phishing
http://ebay-item-confirm.phishing.net/pay,phishing
http://amazon-prime-renewal.scam.com/billing,phishing
